,0
0,http://flytropic.com/CHANGELOG.txt
1,http://godiva.com/CHANGELOG.txt
2,http://worldbank.org/CHANGELOG.txt
3,http://scvotes.org/CHANGELOG.txt
4,http://smartsheet.com/CHANGELOG.txt
5,http://rwu.edu/CHANGELOG.txt
6,http://supplementalhealthcare.com/CHANGELOG.txt
7,http://unca.edu/CHANGELOG.txt
8,http://conagracareers.com/CHANGELOG.txt
9,http://wiche.edu/CHANGELOG.txt *updated it
10,http://almonds.com/CHANGELOG.txt
11,http://apigee.com/CHANGELOG.txt
12,http://cellularsales.com/CHANGELOG.txt
13,http://comcastwholesale.com/CHANGELOG.txt
14,http://uarts.edu/CHANGELOG.txt
15,http://eastern.edu/CHANGELOG.txt
16,http://floridahospital.org/CHANGELOG.txt
17,http://scoutanalytics.com/CHANGELOG.txt
18,http://eurekafamilypractice.com/CHANGELOG.txt
19,http://bridgew.edu/CHANGELOG.txt
20,http://mplp.org/CHANGELOG.txt
21,http://salem.edu/CHANGELOG.txt
22,http://thecitizensbank.net/CHANGELOG.txt
23,http://opticaldg.com/CHANGELOG.txt
24,http://abbconcise.com/CHANGELOG.txt
25,http://abbcon-cise.com/CHANGELOG.txt
26,http://advantagelabs.com/CHANGELOG.txt
27,http://aem3d.com/CHANGELOG.txt
28,http://americaspromise.org/CHANGELOG.txt
29,http://aspeinc.com/CHANGELOG.txt
30,http://bearsmoxie.org/CHANGELOG.txt
31,http://bluecoda.com/CHANGELOG.txt
32,http://bluedrophosting.com/CHANGELOG.txt
33,http://bluewatergolfpro.com/CHANGELOG.txt
34,http://bowst.com/CHANGELOG.txt
35,http://brevardoriginalmusic.com/CHANGELOG.txt
36,http://cambr.org/CHANGELOG.txt
37,http://capaware.com/CHANGELOG.txt
38,http://darrylnorris.com/CHANGELOG.txt
39,http://dentonchurchofchrist.org/CHANGELOG.txt
40,http://ergomail.com/CHANGELOG.txt
41,http://extremobility.com/CHANGELOG.txt
42,http://facetofacestudy.com/CHANGELOG.txt
43,http://forsalebybuilderusa.com/CHANGELOG.txt
44,http://genevalution.com/CHANGELOG.txt
45,http://goodcleanfunllc.com/CHANGELOG.txt
46,http://grupofinancierobase.com/CHANGELOG.txt
47,http://gtrlabs.org/CHANGELOG.txt
48,http://halcrow.com/CHANGELOG.txt
49,http://ilc-swell.com/CHANGELOG.txt
50,http://infospike.com/CHANGELOG.txt
51,http://inlandnorthwestpermaculture.com/CHANGELOG.txt
52,http://ipwa.net/CHANGELOG.txt
53,http://latticegroup.com/CHANGELOG.txt
54,http://linuxbeach.net/CHANGELOG.txt
55,http://linvillearchitects.com/CHANGELOG.txt
56,http://logistics.com/CHANGELOG.txt
57,http://mancelonabassfest.com/CHANGELOG.txt
58,http://mancelonabassfest.org/CHANGELOG.txt
59,http://pittsfieldissues.com/CHANGELOG.txt
60,http://posible.org.mx/CHANGELOG.txt
61,http://ralphlauren.co.jp/CHANGELOG.txt
62,http://raystedman.es/CHANGELOG.txt
63,http://saas.com/CHANGELOG.txt
64,http://seed-marketing.com/CHANGELOG.txt
65,http://shawnhanes.com/CHANGELOG.txt
66,http://solidworks.co.kr/CHANGELOG.txt
67,http://stingray.com/CHANGELOG.txt
68,http://stilogdl.com/CHANGELOG.txt
69,http://cullenmathieson.com/CHANGELOG.txt
70,http://curiohawk.com/CHANGELOG.txt
71,http://kaliseum.com/CHANGELOG.txt
72,http://nasarallysport.com/CHANGELOG.txt
73,http://natchitocheseventscenter.com/CHANGELOG.txt
74,http://norriedisease.org/CHANGELOG.txt
75,http://officialeriktaylor.com/CHANGELOG.txt
76,http://olsonengage.com/CHANGELOG.txt
77,http://olson1to1.com/CHANGELOG.txt
78,http://olson.com/CHANGELOG.txt
79,http://opcyc.org/CHANGELOG.txt
80,http://reflectiongroup.org/CHANGELOG.txt
81,http://robbreport.com/CHANGELOG.txt
82,http://rogerbartram.com/CHANGELOG.txt
83,http://su01.net/CHANGELOG.txt
84,http://tagcmd.com/CHANGELOG.txt
85,http://tcmba.org/CHANGELOG.txt
86,http://tdottriathlon.com/CHANGELOG.txt
87,http://teamgoblin.com/CHANGELOG.txt
88,http://techanik.com/CHANGELOG.txt
89,http://texasthoriumenergy.com/CHANGELOG.txt
90,http://the-flipside.com/CHANGELOG.txt
91,http://umhb.edu/CHANGELOG.txt
92,http://vdi.net/CHANGELOG.txt
93,http://verdantspring.com/CHANGELOG.txt
94,http://veriwave.com/CHANGELOG.txt
95,http://voicedoctor.net/CHANGELOG.txt
96,http://wattsgrocery.com/CHANGELOG.txt
97,http://whrarchitects.com/CHANGELOG.txt
98,http://woldruffsfootwear.com/CHANGELOG.txt
99,http://worldbankgroup.org/CHANGELOG.txt
100,http://yuriybabenko.com/CHANGELOG.txt
101,http://ztestsite.com/CHANGELOG.txt
102,http://timziebart.com/CHANGELOG.txt
103,http://tripstigator.com/CHANGELOG.txt
104,http://trumptheshark.com/CHANGELOG.txt
